PJ,LATITUDE,LONGITUDE
PROMOTORIA DE JUSTIÇA DE LOUVEIRA,-23.08688609971968,-46.950534054924205
PROMOTORIA DE JUSTIÇA DE MOGI GUACU,-22.368361611405078,-46.94510374859632
PROMOTORIA DE JUSTIÇA DE MOGI MIRIM,-22.440205400483396,-46.96709563816297
PROMOTORIA DE JUSTIÇA DE MONTE MOR,-22.94006255530345,-47.315345462115936
PROMOTORIA DE JUSTIÇA DE NAZARÉ PAULISTA,-23.163138610051533,-46.396923638469424
PROMOTORIA DE JUSTIÇA DE NOVA ODESSA,-22.78221350907683,-47.30215840267874
PROMOTORIA DE JUSTIÇA DE PAULÍNIA,-22.764677140617238,-47.151471194586044
PROMOTORIA DE JUSTIÇA DE PEDREIRA,-22.73747178003091,-46.893712915424274
PROMOTORIA DE JUSTIÇA DE PINHALZINHO,-22.780663762218705,-46.59238802142003
PROMOTORIA DE JUSTIÇA DE PIRACAIA,-23.05667018692358,-46.356654105233595
PROMOTORIA DE JUSTIÇA DE SÃO JOÃO DA BOA VISTA,-21.968940999875926,-46.77510065782661
PROMOTORIA DE JUSTIÇA DE SERRA NEGRA,-22.611874067833188,-46.70183183055761
PROMOTORIA DE JUSTIÇA DE SOCORRO,-22.59093660375236,-46.5299178069131
PROMOTORIA DE JUSTIÇA DE SUMARÉ,-22.81853749464074,-47.27142948350303
PROMOTORIA DE JUSTIÇA DE VALINHOS,-22.977797280068437,-47.0037885451006
PROMOTORIA DE JUSTIÇA DE VARGEM GRANDE DO SUL,-21.839636238453974,-46.89895925009347
PROMOTORIA DE JUSTIÇA DE VÁRZEA PAULISTA,-23.207554846918665,-46.84690394895341
PROMOTORIA DE JUSTIÇA DE VILA MIMOSA,-22.939805982886522,-47.08936934072631
PROMOTORIA DE JUSTIÇA DE VINHEDO,-23.03664580236691,-46.98278360804578
PROMOTORIA DE JUSTIÇA CÍVEL DO BUTANTÃ,-23.569491049796554,-46.71633945399369
PROMOTORIA DE JUSTIÇA CÍVEL DA CAPITAL,-23.552692856251724,-46.633743429486316
PROMOTORIA DE JUSTIÇA DE FALÊNCIAS DA CAPITAL,-23.552692856251724,-46.633743429486316
PROMOTORIA DE JUSTIÇA DE FAMÍLIA DA CAPITAL,-23.552692856251724,-46.633743429486316
PROMOTORIA DE JUSTIÇA DO IPIRANGA - CÍVEL,-23.582958686792594,-46.604047599146625
PROMOTORIA DE JUSTIÇA DE ITAQUERA - CÍVEL,-23.528889820000224,-46.4499520759792
PROMOTORIA DE JUSTIÇA DO JABAQUARA - CÍVEL,-23.601053810188112,-46.63484225880493
PROMOTORIA DE JUSTIÇA DA LAPA - CÍVEL,-23.520310379955113,-46.70332532680121
PROMOTORIA DE JUSTIÇA DE MANDADOS DE SEGURANÇA DA CAPITAL,-23.55197433525585,-46.636146789756225
PROMOTORIA DE JUSTIÇA DE NOSSA SENHORA DO Ó - CÍVEL,-23.49088093816369,-46.69241862304045
PROMOTORIA DE JUSTIÇA DE PENHA DE FRANÇA - CÍVEL,-23.523571728846417,-46.54652751772888
PROMOTORIA DE JUSTIÇA DE PINHEIROS - CÍVEL,-23.55246823507449,-46.6883978038949
PROMOTORIA DE JUSTIÇA DE REGISTROS PÚBLICOS DA CAPITAL,-23.552692856251724,-46.633743429486316
PROMOTORIA DE JUSTIÇA DE SANTANA - CÍVEL,-23.50826100348176,-46.66972481191092
PROMOTORIA DE JUSTIÇA DE SANTO AMARO - CÍVEL,-23.680181239440802,-46.69429818526577
PROMOTORIA DE JUSTIÇA DE SÃO MIGUEL PAULISTA - CÍVEL,-23.50946525745002,-46.4447245069296
PROMOTORIA DE JUSTIÇA DE TATUAPÉ - CÍVEL,-23.53216855512438,-46.56821587303096
PROMOTORIA DE JUSTIÇA DE VILA PRUDENTE - CÍVEL,-23.575719961702898,-46.5534989525338
PROMOTORIA DE JUSTIÇA DE ALTINÓPOLIS,-21.023705006111953,-47.373983830490076
PROMOTORIA DE JUSTIÇA DE BATATAIS,-20.887400128454992,-47.58487549853128
