PJ,LATITUDE,LONGITUDE
PROMOTORIA DE JUSTIÇA DE ITU,-23.25972660052781,-47.2942038211349
PROMOTORIA DE JUSTIÇA DE MAIRINQUE,-23.546110105668713,-47.183690611846515
PROMOTORIA DE JUSTIÇA DE PARANAPANEMA,-23.38685949618675,-48.72273153380074
PROMOTORIA DE JUSTIÇA DE PIEDADE,-23.714135885984437,-47.41271430018947
PROMOTORIA DE JUSTIÇA DE PILAR DO SUL,-23.814348860617947,-47.716806200205355
PROMOTORIA DE JUSTIÇA DE PORANGABA,-23.175385155307467,-48.123822034577096
PROMOTORIA DE JUSTIÇA DE PORTO FELIZ,-23.215654795104353,-47.524830890133615
PROMOTORIA DE JUSTIÇA DE SALTO,-23.205644956309637,-47.29143460312806
PROMOTORIA DE JUSTIÇA DE SALTO DE PIRAPORA,-23.644898547238743,-47.57516923156605
PROMOTORIA DE JUSTIÇA DE SÃO MIGUEL ARCANJO,-23.881503686904438,-47.99511075758884
PROMOTORIA DE JUSTIÇA DE SÃO ROQUE,-23.530718400849572,-47.13267179888653
PROMOTORIA DE JUSTIÇA DE SOROCABA,-23.47681548513431,-47.42158504019051
PROMOTORIA DE JUSTIÇA DE TAQUARITUBA,-23.535035988078114,-49.24611862397168
PROMOTORIA DE JUSTIÇA DE TATUÍ,-23.3416954644559,-47.872820017831316
PROMOTORIA DE JUSTIÇA DE TIETÊ,-23.107632175185067,-47.713496373318485
PROMOTORIA DE JUSTIÇA DE VOTORANTIM,-23.541340523843264,-47.43676802246329
PROMOTORIA DE JUSTIÇA DE APARECIDA,-22.836200382689626,-45.222558243829134
PROMOTORIA DE JUSTIÇA DE BANANAL,-22.683214632297336,-44.32232259995552
PROMOTORIA DE JUSTIÇA DE CAÇAPAVA,-23.099596778499325,-45.70272222246948
PROMOTORIA DE JUSTIÇA DE CACHOEIRA PAULISTA,-22.666158689473697,-45.00989356275064
PROMOTORIA DE JUSTIÇA DE CAMPOS DO JORDÃO,-22.739351136633218,-45.592732010431895
PROMOTORIA DE JUSTIÇA DE CARAGUATATUBA,-23.632704194868957,-45.423457917925205
PROMOTORIA DE JUSTIÇA DE CRUZEIRO,-22.565054527345488,-44.9619582703766
PROMOTORIA DE JUSTIÇA DE CUNHA,-23.076285833629495,-44.95995037992799
PROMOTORIA DE JUSTIÇA DE GUARATINGUETÁ,-22.804957313653787,-45.19108138234595
PROMOTORIA DE JUSTIÇA DE ILHABELA,-23.820596205851615,-45.36904689088734
PROMOTORIA DE JUSTIÇA DE JACAREÍ CÍVEL,-23.305488840920027,-45.976308332884436
PROMOTORIA DE JUSTIÇA DE LORENA,-22.729530969500196,-45.12530979251639
PROMOTORIA DE JUSTIÇA DE PARAIBUNA,-23.390468320912344,-45.660962692196215
PROMOTORIA DE JUSTIÇA DE PINDAMONHANGABA,-22.950606318173545,-45.483189602262975
PROMOTORIA DE JUSTIÇA DE PIQUETE,-22.610696877531396,-45.18722231561245
PROMOTORIA DE JUSTIÇA DE QUELUZ,-22.53982627541298,-44.77094765886079
PROMOTORIA DE JUSTIÇA DE ROSEIRA,-22.898642559993963,-45.3038510373775
PROMOTORIA DE JUSTIÇA DE SALESÓPOLIS,-23.532118436378877,-45.84560817684723
PROMOTORIA DE JUSTIÇA DE SANTA BRANCA,-23.39771466659573,-45.88507170262532
PROMOTORIA DE JUSTIÇA DE SÃO BENTO DO SAPUCAÍ,-22.687599378337996,-45.73161319826979
PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DOS CAMPOS,-23.220005267839802,-45.90391413417827
PROMOTORIA DE JUSTIÇA DE SÃO LUIZ DO PARAITINGA,-23.23112446725142,-45.30860722311928
PROMOTORIA DE JUSTIÇA DE SÃO SEBASTIÃO,-23.80129764861642,-45.399182716745145
PROMOTORIA DE JUSTIÇA DE TAUBATÉ - CÍVEL,-23.0126291297652,-45.54595968586246
PROMOTORIA DE JUSTIÇA DE TREMEMBÉ,-22.960357714338674,-45.54019491338083
PROMOTORIA DE JUSTIÇA DE UBATUBA,-23.448239572642738,-45.08358560696633
PROMOTORIA DE JUSTIÇA DE CANANEIA,-25.01510064784667,-47.92750349799097
PROMOTORIA DE JUSTIÇA DE ELDORADO,-24.52690329152344,-48.108231220443116
PROMOTORIA DE JUSTIÇA DE IGUAPE,-24.710932562120558,-47.55908441293328
PROMOTORIA DE JUSTIÇA DE ITARIRI,-24.290006444511324,-47.17371616890549
PROMOTORIA DE JUSTIÇA DE JACUPIRANGA,-24.696705850155706,-48.00463713837171
PROMOTORIA DE JUSTIÇA DE JUQUIÁ,-24.31823796345225,-47.632542592876746
PROMOTORIA DE JUSTIÇA DE MIRACATU,-24.281588516930476,-47.459279702979714
PROMOTORIA DE JUSTIÇA DE PARIQUERA-AÇU,-24.71521086654597,-47.880542696040855
PROMOTORIA DE JUSTIÇA DE REGISTRO,-24.49615642425698,-47.84722026592623
PROMOTORIA DE JUSTIÇA DE SÃO JOSÉ DO RIO PRETO - SEDE,-20.81552498976629,-49.38370147737348
PROMOTORIA DE JUSTIÇA DE SALTO - Juizado Especial,-23.20336494034954,-47.29611259719508
PROMOTORIA DE JUSTIÇA DE ITAPETININGA - CÍVEL,-23.572111825766314,-48.02342806978677
